id,created_at,customer_name,delivery_fee,delivery_range,is_delivery,items_count,origin,payment_method,printed_ticket,products_snapshot,sync_status,synced_at,total,updated_at,subtotal,staff_id,staff_name,store_id
TCK-5001,2026-05-01T16:15:00.000Z,Mostrador,0,NULL,0,2,desktop,efectivo,,"[{""product_id"":""1"",""name"":""Gorra Snapback Classic"",""qty"":2,""price"":450,""line_total"":900}]",pending,,900,2026-05-29T20:00:08.004Z,900,2,Juan Perez,
TCK-5002,2026-05-01T18:48:00.000Z,Pedido Uber,0,5 km,1,1,desktop,tarjeta,,"[{""product_id"":""3"",""name"":""Gorra Beisbol B�sica"",""qty"":1,""price"":350,""line_total"":350}]",pending,,350,2026-05-29T20:00:08.004Z,350,4,Maria Lopez,
TCK-5003,2026-05-02T20:22:00.000Z,Cliente Frecuente,0,NULL,0,1,desktop,transferencia,,"[{""product_id"":""5"",""name"":""Gorra Vintage Denim"",""qty"":1,""price"":500,""line_total"":500}]",pending,,500,2026-05-29T20:00:08.004Z,500,3,Carlos Ruiz,
TCK-5004,2026-05-02T22:09:00.000Z,Pedido App,0,8 km,1,3,desktop,tarjeta,,"[{""product_id"":""2"",""name"":""Gorra Trucker Mesh"",""qty"":3,""price"":420,""line_total"":1260}]",pending,,1260,2026-05-29T20:00:08.004Z,1260,5,Fernanda Diaz,
TCK-5005,2026-05-03T15:11:00.000Z,Venta Local,0,NULL,0,2,desktop,efectivo,,"[{""product_id"":""6"",""name"":""Gorra Running Light"",""qty"":2,""price"":380,""line_total"":760}]",pending,,760,2026-05-29T20:00:08.004Z,760,2,Juan Perez,
TCK-5006,2026-05-04T00:33:00.000Z,Pedido WhatsApp,0,12 km,1,1,desktop,transferencia,,"[{""product_id"":""7"",""name"":""Gorra Lana Premium"",""qty"":1,""price"":550,""line_total"":550}]",pending,,550,2026-05-29T20:00:08.004Z,550,6,Daniela Cruz,
TCK-5007,2026-05-04T17:05:00.000Z,Mostrador,0,NULL,0,2,desktop,tarjeta,,"[{""product_id"":""4"",""name"":""Gorra Visera Plana Urban"",""qty"":2,""price"":480,""line_total"":960}]",pending,,960,2026-05-29T20:00:08.004Z,960,4,Maria Lopez,
TCK-5008,2026-05-04T19:55:00.000Z,Promoci�n Influencer,0,6 km,1,1,desktop,efectivo,,"[{""product_id"":""1"",""name"":""Gorra Snapback Classic"",""qty"":1,""price"":450,""line_total"":450}]",pending,,450,2026-05-29T20:00:08.004Z,450,3,Carlos Ruiz,
TCK-5009,2026-05-05T21:27:00.000Z,Compra Evento,0,NULL,0,4,desktop,tarjeta,,"[{""product_id"":""2"",""name"":""Gorra Trucker Mesh"",""qty"":4,""price"":420,""line_total"":1680}]",pending,,1680,2026-05-29T20:00:08.004Z,1680,5,Fernanda Diaz,
TCK-5010,2026-05-06T01:44:00.000Z,Delivery Express,0,4 km,1,1,desktop,efectivo,,"[{""product_id"":""6"",""name"":""Gorra Running Light"",""qty"":1,""price"":380,""line_total"":380}]",pending,,380,2026-05-29T20:00:08.004Z,380,2,Juan Perez,
TCK-5011,2026-05-06T16:30:00.000Z,Cortes�a Sponsor,0,NULL,0,2,desktop,transferencia,,"[{""product_id"":""5"",""name"":""Gorra Vintage Denim"",""qty"":2,""price"":500,""line_total"":1000}]",pending,,1000,2026-05-29T20:00:08.004Z,1000,6,Daniela Cruz,
TCK-5012,2026-05-06T23:12:00.000Z,Pedido Facebook,0,9 km,1,1,desktop,tarjeta,,"[{""product_id"":""7"",""name"":""Gorra Lana Premium"",""qty"":1,""price"":550,""line_total"":550}]",pending,,550,2026-05-29T20:00:08.004Z,550,4,Maria Lopez,
TCK-5013,2026-05-07T18:01:00.000Z,Venta Local,0,NULL,0,2,desktop,efectivo,,"[{""product_id"":""3"",""name"":""Gorra Beisbol Basica"",""qty"":2,""price"":350,""line_total"":700}]",pending,,700,2026-05-29T20:00:08.004Z,700,5,Fernanda Diaz,
TCK-5014,2026-05-08T02:18:00.000Z,Pedido Instagram,0,7 km,1,1,desktop,tarjeta,,"[{""product_id"":""4"",""name"":""Gorra Visera Plana Urban"",""qty"":1,""price"":480,""line_total"":480}]",pending,,480,2026-05-29T20:00:08.004Z,480,3,Carlos Ruiz,
TCK-5015,2026-05-08T15:45:00.000Z,Compra Mayoreo,0,NULL,0,5,desktop,transferencia,,"[{""product_id"":""1"",""name"":""Gorra Snapback Classic"",""qty"":5,""price"":450,""line_total"":2250}]",pending,,2250,2026-05-29T20:00:08.004Z,2250,2,Juan Perez,
TCK-5016,2026-05-08T17:15:00.000Z,Venta Mostrador,0,NULL,0,1,desktop,tarjeta,,"[{""product_id"":""8"",""name"":""Tenis Urban Street"",""qty"":1,""price"":1250,""line_total"":1250}]",pending,,1250,2026-05-29T20:00:08.004Z,1250,2,Juan Perez,
TCK-5017,2026-05-08T20:20:00.000Z,Pedido App,0,10 km,1,2,desktop,transferencia,,"[{""product_id"":""9"",""name"":""Tenis Runner Pro"",""qty"":2,""price"":1600,""line_total"":3200}]",pending,,3200,2026-05-29T20:00:08.004Z,3200,4,Maria Lopez,
TCK-5018,2026-05-09T16:08:00.000Z,Cliente Frecuente,0,NULL,0,1,desktop,efectivo,,"[{""product_id"":""10"",""name"":""Tenis Casual White"",""qty"":1,""price"":1450,""line_total"":1450}]",pending,,1450,2026-05-29T20:00:08.004Z,1450,5,Fernanda Diaz,
TCK-5019,2026-05-09T19:42:00.000Z,Pedido Instagram,0,6 km,1,1,desktop,tarjeta,,"[{""product_id"":""11"",""name"":""Tenis High Top Retro"",""qty"":1,""price"":1800,""line_total"":1800}]",pending,,1800,2026-05-29T20:00:08.004Z,1800,3,Carlos Ruiz,
TCK-5020,2026-05-10T00:55:00.000Z,Compra Evento,0,NULL,0,3,desktop,transferencia,,"[{""product_id"":""12"",""name"":""Tenis Skate Black"",""qty"":3,""price"":1400,""line_total"":4200}]",pending,,4200,2026-05-29T20:00:08.004Z,4200,6,Daniela Cruz,
TCK-5021,2026-05-10T15:17:00.000Z,Delivery Express,0,8 km,1,2,desktop,efectivo,,"[{""product_id"":""8"",""name"":""Tenis Urban Street"",""qty"":2,""price"":1250,""line_total"":2500}]",pending,,2500,2026-05-29T20:00:08.004Z,2500,2,Juan Perez,
TCK-5022,2026-05-10T18:33:00.000Z,Venta Local,0,NULL,0,10,desktop,tarjeta,,"[{""product_id"":""13"",""name"":""Tenis Flex"",""qty"":10,""price"":160,""line_total"":1600}]",pending,,1600,2026-05-29T20:00:08.004Z,1600,4,Maria Lopez,
TCK-5027,2026-05-12T16:51:00.000Z,Pedido Web,0,9 km,1,3,desktop,efectivo,,"[{""product_id"":""13"",""name"":""Tenis Sport Flex"",""qty"":3,""price"":1600,""line_total"":4800}]",pending,,4800,2026-05-29T20:00:08.004Z,4800,4,Maria Lopez,
TCK-5028,2026-05-12T21:14:00.000Z,Venta Sucursal,0,NULL,0,1,desktop,tarjeta,,"[{""product_id"":""11"",""name"":""Tenis High Top Retro"",""qty"":1,""price"":1800,""line_total"":1800}]",pending,,1800,2026-05-29T20:00:08.004Z,1800,5,Fernanda Diaz,
TCK-5029,2026-05-13T02:07:00.000Z,Pedido Corporativo,0,18 km,1,2,desktop,transferencia,,"[{""product_id"":""14"",""name"":""Tenis Premium Gold"",""qty"":2,""price"":2600,""line_total"":5200}]",pending,,5200,2026-05-29T20:00:08.004Z,5200,3,Carlos Ruiz,
